"","df2","title","n"
"1","Абакан","Абакан",350
"2","Абакан","Владивосток",13
"3","Абакан","Иркутск",59
"4","Абакан","Красноярск",118
"5","Абакан","Москва",77
"6","Абакан","Новосибирск",53
"7","Абакан","Санкт-Петербург",40
"8","Абакан","Томск",58
"9","Барнаул","Барнаул",2915
"10","Барнаул","Бийск",14
"11","Барнаул","Екатеринбург",24
"12","Барнаул","Казань",15
"13","Барнаул","Краснодар",15
"14","Барнаул","Красноярск",23
"15","Барнаул","Москва",277
"16","Барнаул","Новоалтайск",15
"17","Барнаул","Новосибирск",228
"18","Барнаул","Омск",20
"19","Барнаул","Санкт-Петербург",160
"20","Барнаул","Томск",80
"21","Горно-Алтайск","Барнаул",247
"22","Горно-Алтайск","Москва",19
"23","Горно-Алтайск","Новосибирск",20
"24","Горно-Алтайск","Санкт-Петербург",19
"25","Горно-Алтайск","Томск",12
"26","Иркутск","Барнаул",19
"27","Иркутск","Владивосток",37
"28","Иркутск","Горно-Алтайск",17
"29","Иркутск","Екатеринбург",16
"30","Иркутск","Иркутск",2717
"31","Иркутск","Казань",15
"32","Иркутск","Краснодар",11
"33","Иркутск","Красноярск",59
"34","Иркутск","Москва",314
"35","Иркутск","Новосибирск",73
"36","Иркутск","Санкт-Петербург",193
"37","Иркутск","Томск",31
"38","Иркутск","Улан-Удэ",24
"39","Иркутск","Чита",12
"40","Кемерово","Барнаул",13
"41","Кемерово","Владивосток",15
"42","Кемерово","Екатеринбург",17
"43","Кемерово","Казань",21
"44","Кемерово","Кемерово",1678
"45","Кемерово","Краснодар",22
"46","Кемерово","Красноярск",42
"47","Кемерово","Москва",220
"48","Кемерово","Новокузнецк",26
"49","Кемерово","Новосибирск",214
"50","Кемерово","Омск",15
"51","Кемерово","Санкт-Петербург",153
"52","Кемерово","Тайга",11
"53","Кемерово","Томск",217
"54","Красноярск","Барнаул",2908
"55","Красноярск","Бийск",14
"56","Красноярск","Владивосток",12
"57","Красноярск","Екатеринбург",30
"58","Красноярск","Казань",16
"59","Красноярск","Краснодар",18
"60","Красноярск","Красноярск",26
"61","Красноярск","Москва",344
"62","Красноярск","Новоалтайск",15
"63","Красноярск","Новосибирск",1037
"64","Красноярск","Омск",25
"65","Красноярск","Санкт-Петербург",193
"66","Красноярск","Томск",110
"67","Кызыл","Кемерово",16
"68","Кызыл","Красноярск",31
"69","Кызыл","Кызыл",149
"70","Кызыл","Москва",50
"71","Кызыл","Новосибирск",33
"72","Кызыл","Санкт-Петербург",14
"73","Кызыл","Томск",26
"74","Новокузнецк","Абакан",17
"75","Новокузнецк","Барнаул",31
"76","Новокузнецк","Екатеринбург",19
"77","Новокузнецк","Кемерово",111
"78","Новокузнецк","Краснодар",13
"79","Новокузнецк","Красноярск",42
"80","Новокузнецк","Москва",147
"81","Новокузнецк","Новокузнецк",902
"82","Новокузнецк","Новосибирск",246
"83","Новокузнецк","Омск",11
"84","Новокузнецк","Санкт-Петербург",118
"85","Новокузнецк","Томск",127
"86","Новосибирск","",17
"87","Новосибирск","Барнаул",62
"88","Новосибирск","Владивосток",23
"89","Новосибирск","Екатеринбург",36
"90","Новосибирск","Иркутск",12
"91","Новосибирск","Казань",31
"92","Новосибирск","Кемерово",31
"93","Новосибирск","Киев",16
"94","Новосибирск","Краснодар",21
"95","Новосибирск","Красноярск",47
"96","Новосибирск","Москва",581
"97","Новосибирск","Нижний Новгород",17
"98","Новосибирск","Новокузнецк",13
"99","Новосибирск","Новосибирск",6196
"100","Новосибирск","Омск",53
"101","Новосибирск","Ростов-на-Дону",11
"102","Новосибирск","Санкт-Петербург",298
"103","Новосибирск","Томск",237
"104","Омск","Guangzhou",11
"105","Омск","New York City",13
"106","Омск","San Francisco",11
"107","Омск","Алматы",17
"108","Омск","Барнаул",2880
"109","Омск","Бийск",23
"110","Омск","Екатеринбург",51
"111","Омск","Казань",30
"112","Омск","Краснодар",14
"113","Омск","Красноярск",25
"114","Омск","Майкоп",12
"115","Омск","Москва",239
"116","Омск","Нижний Новгород",14
"117","Омск","Новосибирск",265
"118","Омск","Омск",13
"119","Омск","Пушкин",12
"120","Омск","Ровно",14
"121","Омск","Санкт-Петербург",222
"122","Омск","Томск",128
"123","Томск","Екатеринбург",14
"124","Томск","Кемерово",17
"125","Томск","Краснодар",17
"126","Томск","Красноярск",16
"127","Томск","Москва",193
"128","Томск","Новосибирск",56
"129","Томск","Омск",16
"130","Томск","Санкт-Петербург",147
"131","Томск","Томск",2474
